AssessmentUnitID,WaterbodyName,Type,RiverBasin,County,Uses,Causes,Sources,Size,UnitType,DownstreamUpstreamLocations,YearListed,Priority,ReportYear,DraftTMDLDate,DateofData,SupportStatus,1996303(d)?
AL03150106-0808-102,Coosa River(Lay Lake),L,Coosa,TalladegaShelby St. Clair,Public Water SupplySwimming Fish & Wildlife,Priority Organics (PCBs),Contaminated sediments,698.25,acres,River Mile 89 /Logan Martin Dam,,L,2008,1990-911992-97,2017,,
AL03150107-0601-100,Coosa River(Mitchell Lake),L,Coosa,ChiltonCoosa,Public Water SupplySwimming Fish & Wildlife,Nutrients,Urban runoff/storm sewersFlow regulation/modification,5400.33,acres,Mitchell Dam /Lay Dam,,L,2008,1991-931994-97,2008,,
AL03150107-0102-700,UT to Dry Branch,R,Coosa,Shelby,Fish & Wildlife,Nutrients,MunicipalUrban runoff/storm sewers,1.58,miles,Dry Branch /Its source,,H,2008,1991,2012,,
AL03170008-0302-100,Escatawpa River,R,Escatawpa,Mobile,SwimmingFish & Wildlife,Metals (Mercury),Unknown source,70.66,miles,AL-MS state line /Its source,,H,2008,2002,2013,,
AL03170008-0402-100,Big Creek (Big CreekReservoir),R,Escatawpa,Mobile,Public Water SupplyFish & Wildlife,Metals (Mercury),Atmospheric Deposition,3309.31,acres,Big Creek Reservoir /Collins Creek,,L,2008,2006,2013,,
AL03170008-0402-400,Boggy Branch,R,Escatawpa,Mobile,Fish & Wildlife,Metals (Iron),Natural,4.58,miles,Big Creek Lake /Its source,,M,2008,1996-99,2008,,
AL03170008-0402-700,Collins Creek,R,Escatawpa,Mobile,Fish & Wildlife,Pathogens,Pasture grazingOn-site wastewater systems,5.15,miles,Big Creek /Its source,,H,2008,1996-99,2008,,
AL03170008-0402-700,Collins Creek,R,Escatawpa,Mobile,Fish & Wildlife,Metals (Arsenic),Unknown source,5.15,miles,Big Creek /Its source,,L,2008,2001 2002,2013,,
AL03170009-0102-100,Bayou La Batre,R,Escatawpa,Mobile,Fish & Wildlife,Pathogens,Urban runoff/storm sewers,5.46,miles,Portersville Bay /Its source,,L,2008,1997,2008,,
AL03170009-0201-100,Mississippi Sound,E,Escatawpa,Mobile,Shellfish Harvesting SwimmingFish & Wildlife,Pathogens,Urban runoff/storm sewers,63820.80,acres,Segment classified for shellfish harvesting,,M,2008,1994-97,2013,,
AL03170009-0201-200,Portersville Bay,E,Escatawpa,Mobile,Shellfish Harvesting SwimmingFish & Wildlife,Pathogens,Municipal,12038.40,acres,1000 feet west of outfall / Bayou la Batre Utilities outfall,,L,2008,1996,2013,,
AL03170009-0201-300,Grand Bay,E,Escatawpa,Mobile,Shellfish Harvesting SwimmingFish & Wildlife,Pathogens,On-site wastewater systems,19667.20,acres,Grand Bay,,L,2008,2003-2005,2013,,
AL03160204-0505-100,Mobile River,R,Mobile,Mobile,Limited WarmwaterFishery,Metals (Mercury),Unknown source,7.61,miles,Mobile Bay /Spanish River,,L,2008,2000,2013,,
AL03160204-0303-102,Mobile River,R,Mobile,BaldwinMobile,Fish & Wildlife,Metals (Mercury),Unknown source,20.90,miles,Spanish River /Cold Creek,,L,2008,2000,2013,,
AL03160204-0106-101,Cold Creek,R,Mobile,Mobile,Fish & Wildlife,Metals (Mercury),Contaminated sediments Flow regulation/modification,4.21,miles,Mobile River /Dam 1 1/2 miles west of US Highway 43,,L,2008,1993,2013,,
AL03160204-0201-200,Middle River,R,Mobile,MobileBaldwin,Fish & Wildlife,Metals (Mercury),Unknown source,9.72,miles,Tensaw River(RM 20.6) /Tensaw River(RM 37.7),,H,2008,2002,2013,,
AL03160204-0404-101,Chickasaw Creek,R,Mobile,Mobile,Limited WarmwaterFishery,Metals (Mercury),Unknown source,4.43,miles,Mobile River /US Highway 43,,H,2008,2000,2013,,
AL03160204-0404-102,Chickasaw Creek,R,Mobile,Mobile,Fish & Wildlife,Metals (Mercury),Unknown source,6.64,miles,US Highway 43 /Mobile College,,H,2008,2000,2013,,
AL03160204-0402-100,Chickasaw Creek,R,Mobile,Mobile,SwimmingFish & Wildlife,Metals (Mercury),Unknown source,26.82,miles,Mobile College /Its source,,H,2008,2000,2013,,
AL03160204-0503-102,Bay Minette Creek,R,Mobile,Baldwin,Fish & Wildlife,Metals (Mercury),Unknown source,18.15,miles,Bay Minette /Its source,,H,2008,2000,2013,,
AL03160204-0504-101,Threemile Creek,R,Mobile,Mobile,Agricultural & Industrial,Pesticides (Chlordane),Unknown source,2.04,miles,Mobile River /Toulmins Spring Branch,,L,2008,2000,2013,,
AL03160204-0504-101,Threemile Creek,R,Mobile,Mobile,Agricultural & Industrial,Pathogens,MunicipalCollection system failure Urban runoff/storm sewers,2.04,miles,Mobile River / Toulmins Spring Branch,,L,2008,2000-01,2008,,
AL03160204-0504-102,Threemile Creek,R,Mobile,Mobile,Agricultural & Industrial,Pathogens,MunicipalCollection system failure Urban runoff/storm sewers,4.34,miles,Toulmins Spring Branch / Mobile Street,,L,2008,2000-01,2008,,
AL03160204-0504-103,Threemile Creek,R,Mobile,Mobile,Agricultural & Industrial,Pathogens,MunicipalCollection system failure Urban runoff/storm sewers,8.85,miles,Mobile Street / Its source,,L,2008,2000-01,2008,,
AL03160204-0504-300,Toulmins Spring Branch,R,Mobile,Mobile,Fish & Wildlife,Pathogens,Urban runoff/storm sewers,3.22,miles,Threemile Creek /Its source,,H,2008,2000-01,2008,,
AL03160204-0504-300,Toulmins Spring Branch,R,Mobile,Mobile,Fish & Wildlife,Ammonia,Urban runoff/storm sewers,3.22,miles,Threemile Creek /Its source,,L,2008,2000-01,2013,,
AL03160204-0504-300,Toulmins Spring Branch,R,Mobile,Mobile,Fish & Wildlife,Nutrients,Urban runoff/storm sewers,3.22,miles,Threemile Creek /Its source,,L,2008,2000-01,2013,,
AL03160204-0504-500,UT to Threemile Creek,R,Mobile,Mobile,Fish & Wildlife,Pathogens,Urban runoff/storm sewers,1.04,miles,Threemile Creek /Its source,,H,2008,2000-01,2008,,
AL03160204-0504-500,UT to Threemile Creek,R,Mobile,Mobile,Fish & Wildlife,Nutrients,Urban runoff/storm sewers,1.04,miles,Threemile Creek /Its source,,L,2008,2000-01,2013,,
AL03160204-0505-201,Tensaw River,R,Mobile,Baldwin,Fish & Wildlife,Metals (Mercury),Unknown source,6.51,miles,Mobile Bay /Junction of Tensaw and Apalachee Rivers,,H,2008,2002,2013,,
AL03160204-0505-202,Tensaw River,R,Mobile,Baldwin,Outstanding Alabama WaterSwimmingFish & Wildlife,Metals (Mercury),Unknown source,21.73,miles,Junction of Tensaw and Apalachee Rivers /Junction of Briar Lake,,H,2008,2002,2013,,
AL03160204-0505-500,D'Olive Creek,R,Mobile,Baldwin,Fish & Wildlife,Siltation (habitat alteration),Land development,4.89,miles,D'Olive Bay /Its source,,L,2008,2007,2013,,
AL03160204-0505-800,Joes Branch,R,Mobile,Baldwin,Fish & Wildlife,Siltation (habitat alteration),Land development,1.57,miles,D'Olive Creek /Its source,,L,2008,2007,2013,,
AL03160204-0505-900,Tiawasee Creek,R,Mobile,Baldwin,Fish & Wildlife,Siltation (habitat alteration),Land development,3.54,miles,D'Olive Creek /Its source,,L,2008,2007,2013,,
AL03160204-0505-905,UT to Tiawasee Creek,R,Mobile,Baldwin,Fish & Wildlife,Siltation (habitat alteration),Land development,1.87,miles,Tiawasee Creek /Its source,,L,2008,2007,2013,,
AL03160204-0505-505,UT to D'Olive Creek,R,Mobile,Baldwin,Fish & Wildlife,Siltation (habitat alteration),Land development,1.22,miles,D'Olive Creek /Its source,,L,2008,2007,2013,,
AL03160204-0105-302,Tensaw River,R,Mobile,Baldwin,Outstanding Alabama WaterFish & Wildlife,Metals (Mercury),Unknown source,2.93,miles,Junction of Briar Lake / Junction of Tensaw Lake,,H,2008,2002,2013,,
AL03160204-0105-303,Tensaw River,R,Mobile,BaldwinMobile,Fish & Wildlife,Metals (Mercury),Unknown source,10.98,miles,Junction of Tensaw Lake /Mobile River,,H,2008,2002,2013,,
AL03160205-0104-100,Mobile Bay,E,Mobile,Mobile,Shellfish HarvestingFish & Wildlife,Pathogens,Urban runoff/storm sewers,109184.00,acres,Segment classified for shellfishharvesting,,M,2008,1994-97,2009,,
AL03160205-0104-200,Bon Secour Bay,E,Mobile,Baldwin,Shellfish Harvesting SwimmingFish & Wildlife,Pathogens,Urban runoff/storm sewers Onsite wastewater systems,66457.60,acres,Segment classified for shellfish harvesting,,M,2008,1994-97,2008,,
AL03160205-0202-300,Bolton Branch,R,Mobile,Mobile,Fish & Wildlife,Pathogens,Urban runoff/storm sewers,2.44,miles,Dog River /Its source,,M,2008,2003,2008,,
AL03160205-0202-400,Eslava Creek,R,Mobile,Mobile,Fish & Wildlife,Pathogens,Urban runoff/storm sewers,3.17,miles,Dog River /Its source,,M,2008,2003,2008,,
AL03160205-0202-700,Bolton Branch,R,Mobile,Mobile,Fish & Wildlife,Pathogens,Urban runoff/storm sewersCollection system failure,5.69,miles,Moore Creek /Its source,,L,2008,2003-05,2013,,
AL03160205-0205-100,Middle Fork Deer River,R,Mobile,Mobile,Fish & Wildlife,"Organic Enrichment (CBOD, NBOD)",Urban runoff/storm sewersCollection system failure,3.51,miles,Mobile Bay /Its source,,L,2008,2003-05,2013,,
AL03160205-0206-100,Fowl River,R,Mobile,Mobile,SwimmingFish & Wildlife,Metals (Mercury),Unknown source,20.56,miles,Mobile Bay /Its source,,H,2008,2000,2013,,
AL03160205-0306-200,Polecat Creek,R,Mobile,Baldwin,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric Deposition,7.89,miles,Fish River /Its source,,L,2008,2005,2013,,
AL03160205-0306-500,Baker Branch,R,Mobile,Baldwin,Fish & Wildlife,"Organic Enrichment (CBOD, NBOD)",Pasture grazing,6.15,miles,Polecat Creek /Its source,,L,2008,2001,2013,,
AL03160205-0307-102,Fish River,R,Mobile,Baldwin,SwimmingFish & Wildlife,Metals (Mercury),Unknown sourcePasture grazing,30.01,miles,Weeks Bay /Its source,,L,2008,1996,2013,,
AL03160205-0307-102,Fish River,R,Mobile,Baldwin,SwimmingFish & Wildlife,Pathogens,Unknown sourcePasture grazing,30.01,miles,Weeks Bay /Its source,,L,2008,1996,2013,,
AL03160205-0307-700,Cowpen Creek,R,Mobile,Baldwin,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric Deposition,7.04,miles,Fish River /Its source,,L,2008,2006,2013,,
AL03160205-0310-101,Bon Secour River,R,Mobile,Baldwin,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric Deposition,9.12,miles,Bon Secour Bay /One mile upstream from first bridge above its mouth,,L,2008,2005,2013,,
AL03160205-0310-102,Bon Secour River,R,Mobile,Baldwin,SwimmingFish & Wildlife,Metals (Mercury),Atmospheric Deposition,4.38,miles,One mile upstream from first bridgeabove its mouth / Its source,,L,2008,2005,2013,,
AL03160205-0310-702,UT to Bon Secour River,R,Mobile,Baldwin,Fish & Wildlife,Pathogens,Urban runoff/storm sewersPasture grazing,1.64,miles,Baldwin County Road 65 /Its source,,H,2008,1995,2008,,
AL03160205-0311-100,Oyster Bay,E,Mobile,Baldwin,Shellfish HarvestingFish & Wildlife,Pathogens,Unknown source,608.00,acres,Oyster Bay,,L,2008,2003-2005,2013,,
AL-Gulf-of-Mexico,Gulf of Mexico,E,Mobile,Baldwin Mobile,Shellfish Harvesting SwimmingFish & Wildlife,Metals (Mercury),Unknown source,128652.80,acres,Mississippi / Florida,,L,2008,1996-97,2013,,
AL03140103-0102-700,UT to Jackson Lake 2-S,R,Perdido-Escambia,Covington,Fish & Wildlife,"Organic Enrichment (CBOD, NBOD)",Pasture grazingFeedlots,1.05,miles,W.F. Jackson Lake /Its source,,H,2008,1996-97,2008,,
AL03140103-0102-700,UT to Jackson Lake 2-S,R,Perdido-Escambia,Covington,Fish & Wildlife,Pathogens,Pasture grazingFeedlots,1.05,miles,W.F. Jackson Lake /Its source,,H,2008,1996-97,2008,,
AL03140103-0102-800,UT to Jackson Lake 3-C,R,Perdido-Escambia,Covington,Fish & Wildlife,"Organic Enrichment (CBOD, NBOD)",Pasture grazing Feedlots,1.77,miles,W.F. Jackson Lake / Its source,,H,2008,1996-97,2008,,
AL03140103-0102-800,UT to Jackson Lake 3-C,R,Perdido-Escambia,Covington,Fish & Wildlife,Pathogens,Pasture grazing Feedlots,1.77,miles,W.F. Jackson Lake / Its source,,H,2008,1996-97,2008,,
AL03140103-0402-100,Yellow River,R,Perdido-Escambia,Covington,Fish & Wildlife,Metals (Mercury),Unknown source,14.87,miles,AL-FL state line /North Creek,,L,2008,2002,2016,,
AL03140104-0104-100,Blackwater River,R,Perdido-Escambia,Escambia,Fish & Wildlife,Metals (Mercury),Unknown source,2.78,miles,AL-FL state line /Blackwater Creek,,L,2008,2002,2016,,
AL03140106-0302-101,Brushy Creek,R,Perdido-Escambia,Escambia,Fish & Wildlife,"Organic Enrichment (CBOD, NBOD)",Industrial MunicpalUrban runoff/storm sewers,0.22,miles,AL-FL state line / Boggy Branch,,H,2008,1999,2010,,
AL03140106-0302-101,Brushy Creek,R,Perdido-Escambia,Escambia,Fish & Wildlife,Metals (Lead),MunicipalIndustrial,0.22,miles,AL-FL state line /Boggy Branch,,L,2008,2004 2005,2010,,
AL03140106-0302-201,Boggy Branch,R,Perdido-Escambia,Escambia,Fish & Wildlife,Pathogens,Municipal Industrial,1.54,miles,Brushy Creek / Atmore WWTP,,L,2008,2004,2010,,
AL03140106-0302-201,Boggy Branch,R,Perdido-Escambia,Escambia,Fish & Wildlife,Metals (Copper),Municipal Industrial,1.54,miles,Brushy Creek / Atmore WWTP,,L,2008,2004,2010,,
AL03140106-0302-201,Boggy Branch,R,Perdido-Escambia,Escambia,Fish & Wildlife,Metals (Lead),Municipal Industrial,1.54,miles,Brushy Creek / Atmore WWTP,,L,2008,2004,2010,,
AL03140106-0302-201,Boggy Branch,R,Perdido-Escambia,Escambia,Fish & Wildlife,Metals (Mercury),Municipal Industrial,1.54,miles,Brushy Creek / Atmore WWTP,,L,2008,2004,2010,,
AL03140106-0302-202,Boggy Branch,R,Perdido-Escambia,Escambia,Fish & Wildlife,"Organic Enrichment (CBOD, NBOD)",Industrial,0.22,miles,Atmore WWTP / Masland Carpets WWTP,,L,2008,1996 1997,2010,,
AL03140106-0302-202,Boggy Branch,R,Perdido-Escambia,Escambia,Fish & Wildlife,Metals (Zinc),Industrial,0.22,miles,Atmore WWTP / Masland Carpets WWTP,,L,2008,1996 1997,2010,,
AL03140106-0302-202,Boggy Branch,R,Perdido-Escambia,Escambia,Fish & Wildlife,Metals (Mercury),Industrial,0.22,miles,Atmore WWTP / Masland Carpets WWTP,,L,2008,1996 1997,2010,,
AL03140106-0302-202,Boggy Branch,R,Perdido-Escambia,Escambia,Fish & Wildlife,Chlorides,Industrial,0.22,miles,Atmore WWTP / Masland Carpets WWTP,,L,2008,1996 1997,2010,,
AL03140106-0302-202,Boggy Branch,R,Perdido-Escambia,Escambia,Fish & Wildlife,Ammonia,MunicipalIndustrial,0.22,miles,Atmore WWTP /Masland Carpets WWTP,,L,2008,2004 2005,2010,,
AL03140106-0502-100,Styx River,R,Perdido-Escambia,Baldwin,Fish & Wildlife,Metals (Mercury),Unknown source,22.72,miles,Hollinger Creek /Its source,,M,2008,2002,2016,,
AL03140106-0506-100,Styx River,R,Perdido-Escambia,Baldwin,Fish & Wildlife,Metals (Mercury),Unknown source,18.52,miles,Perdido River /Hollinger Creek,,M,2008,2002,2016,,
AL03140106-0603-101,Blackwater River,R,Perdido-Escambia,Baldwin,Fish & Wildlife,Metals (Mercury),Unknown source,3.11,miles,Perdido River /Narrow Gap Creek,,L,2008,2002,2016,,
AL03140106-0703-100,Perdido River,R,Perdido-Escambia,Baldwin,Fish & Wildlife,Metals (Mercury),Atmospheric Deposition,21.93,miles,Perdido Bay /Jacks Branch,,L,2008,2005,2016,,
AL03140107-0103-100,Perdido Bay,E,Perdido-Escambia,Baldwin,Shellfish Harvesting SwimmingFish & Wildlife,Pathogens,Urban runoff/storm sewers Onsite wastewater systems,2694.40,acres,Lillian Bridge / Its source,,L,2008,2001 2002,2010,,
AL03140107-0205-100,Little Lagoon,E,Perdido-Escambia,Baldwin,Shellfish Harvesting SwimmingFish & Wildlife,Pathogens,Urban runoff/storm sewers,2534.40,acres,In its entirety,,L,2008,2000,2010,,
AL03140303-0302-101,Rocky Creek,R,Perdido-Escambia,Butler,Fish & Wildlife,Unknown Toxicity,Unknown source,9.23,miles,Persimmon Creek /County Road north of Chapman,,H,2008,19861990,2008,,
AL03140304-0106-100,Conecuh River,R,Perdido-Escambia,Escambia,Fish & Wildlife,Metals (Mercury),Unknown source,12.70,miles,AL-FL state line /Mantle Branch,,L,2008,2002,2016,,
AL03140304-0605-100,Little Escambia Creek,R,Perdido-Escambia,Escambia,Fish & Wildlife,Metals (Mercury),Unknown source,12.21,miles,AL-FL state line /Wild Fork Creek,,L,2008,2002,2016,,
AL03140305-0301-100,Big Escambia Creek,R,Perdido-Escambia,Escambia,Fish & Wildlife,Metals (Mercury),Unknown source,17.03,miles,AL-FL state line /Big Spring Creek,,L,2008,2002,2016,,
AL03150110-0201-700,Pepperell Branch,R,Tallapoosa,Lee,Fish & Wildlife,Nutrients,Industrial,6.67,miles,Sougahatchee Creek /Its source,,H,2008,1988,2008,,
AL03150110-0204-101,Sougahatchee Creek (Yates Reservoir Embayment),L,Tallapoosa,Tallapoosa,Public Water Supply SwimmingFish & Wildlife,Nutrients,Industrial MunicipalNon-irrigated crop production Pasture grazing,203.78,acres,Tallapoosa River / end of embayment,,H,2008,1994-97,2008,,
AL03150110-0204-101,Sougahatchee Creek (Yates Reservoir Embayment),L,Tallapoosa,Tallapoosa,Public Water Supply SwimmingFish & Wildlife,"Organic Enrichment (CBOD, NBOD)",Industrial MunicipalNon-irrigated crop production Pasture grazing,203.78,acres,Tallapoosa River / end of embayment,,H,2008,1994-97,2008,,
AL03150110-0301-300,Parkerson Mill Creek,R,Tallapoosa,Lee,Fish & Wildlife,Pathogens,Urban runoff/storm sewers,6.85,miles,Chewacla Creek /Its source,,L,2008,2007,2012,,
AL03150110-0301-400,Moores Mill Creek,R,Tallapoosa,Lee,SwimmingFish & Wildlife,Siltation (habitat alteration),Land developmentUrban runoff/storm sewers,10.51,miles,Chewacla Creek /Its source,,L,2008,1998,2012,,
AL03150110-0504-101,Calebee Creek,R,Tallapoosa,Macon,Fish & Wildlife,Siltation (habitat alteration),AgricultureSurface mining,10.26,miles,Tallapoosa River /Macon County Road 9,,H,2008,1996,2012,,
AL03150110-0703-100,Cubahatchee Creek,R,Tallapoosa,Macon,SwimmingFish & Wildlife,Siltation (habitat alteration),AgricultureSurface mining,22.07,miles,Tallapoosa River /Coon Hop Creek,,H,2008,1996,2012,,
AL03150110-0702-102,Cubahatchee Creek,R,Tallapoosa,MaconBullock,SwimmingFish & Wildlife,Siltation (habitat alteration),AgricultureSurface mining,22.37,miles,Coon Hop Creek /Its source,,H,2008,1996,2012,,
AL03150110-0702-102,Cubahatchee Creek,R,Tallapoosa,MaconBullock,SwimmingFish & Wildlife,Pathogens,Pasture Grazing,22.37,miles,Coon Hop Creek /Its source,,L,2008,2000,2012,,
AL03150110-0903-101,Line Creek,R,Tallapoosa,MaconMontgomery,Fish & Wildlife,Siltation (habitat alteration),AgricultureSurface mining,10.29,miles,Tallapoosa River /Johnsons Creek,,M,2008,1996,2012,,
AL03150110-0903-102,Line Creek,R,Tallapoosa,MaconMontgomery,Fish & Wildlife,Siltation (habitat alteration),AgricultureSurface mining,5.51,miles,Johnsons Creek /Panther Creek,,M,2008,1996,2012,,
AL06030001-0402-401,Warren Smith Creek,R,Tennessee,Jackson,Fish & Wildlife,Siltation (habitat alteration),Surface mining-abandoned,1.96,miles,Dry Creek /Ross Branch,,H,2008,19861987,2011,,
AL06030002-0105-101,Guess Creek,R,Tennessee,Jackson,Fish & Wildlife,Unknown Toxicity,Unknown source Pasture grazing,11.08,miles,Paint Rock River / Bee Branch,,H,2008,1997,2011,,
AL06030002-0105-101,Guess Creek,R,Tennessee,Jackson,Fish & Wildlife,"Organic Enrichment (CBOD, NBOD)",Unknown source Pasture grazing,11.08,miles,Paint Rock River / Bee Branch,,H,2008,1997,2011,,
AL06030002-0105-101,Guess Creek,R,Tennessee,Jackson,Fish & Wildlife,Pathogens,Unknown source Pasture grazing,11.08,miles,Paint Rock River / Bee Branch,,H,2008,1997,2011,,
AL06030002-0304-200,Hester Creek,R,Tennessee,Madison,Fish & Wildlife,Nutrients,Pasture grazing,7.27,miles,Mountain Fork /AL-TN state line,,M,2008,1994-95,2011,,
AL06030002-0304-200,Hester Creek,R,Tennessee,Madison,Fish & Wildlife,Turbidity,Land developmentAgriculture,7.27,miles,Mountain Fork /AL-TN state line,,L,2008,1999-2004,2011,,
AL06030002-0306-100,Beaverdam Creek,R,Tennessee,Madison,Fish & Wildlife,Siltation (habitat alteration),Non-irrigated crop production Land development,22.14,miles,Brier Fork / Its source,,M,2008,1994-95,2011,,
AL06030002-0307-100,Brier Fork,R,Tennessee,Madison,Fish & Wildlife,Siltation (habitat alteration),Non-irrigated crop production Land development,21.89,miles,Flint River /AL-TN state line,,L,2008,1994-95,2011,,
AL06030002-0401-102,Flint River,R,Tennessee,Madison,Fish & Wildlife,Pathogens,Pasture grazing,15.32,miles,Alabama Highway 72 /Mountain Fork,,M,2008,1999,2008,,
AL06030002-0401-102,Flint River,R,Tennessee,Madison,Fish & Wildlife,Turbidity,Land developmentAgriculture,15.32,miles,Alabama Highway 72 /Mountain Fork,,L,2008,1999-2004,2011,,
AL06030002-0404-200,Goose Creek,R,Tennessee,Madison,Fish & Wildlife,Unknown Toxicity,Agriculture,8.89,miles,Flint River /Its source,,H,2008,1997,2011,,
AL06030002-0502-101,Huntsville Spring Branch,R,Tennessee,Madison,Fish & Wildlife,Pesticides (DDT),Contaminated sediments,11.08,miles,Indian Creek /Johnson Road (Huntsville Field),,L,2008,1993,2015,,
AL06030002-0502-102,Huntsville Spring Branch,R,Tennessee,Madison,Fish & Wildlife,Metals (Arsenic),Urban Runoff/Storm Sewers,1.98,miles,Johnson Road (Huntsville Field) /Broglan Branch,,L,2008,1994-95,2015,,
AL06030002-0502-102,Huntsville Spring Branch,R,Tennessee,Madison,Fish & Wildlife,Metals (Mercury),Urban Runoff/Storm Sewers,1.98,miles,Johnson Road (Huntsville Field) /Broglan Branch,,L,2008,1994-95,2015,,
AL06030002-0505-101,Indian Creek,R,Tennessee,Madison,Fish & Wildlife,Pesticides (DDT),Contaminated sediments,7.69,miles,Tennessee River /Martin Road (Redstone Arsenal),,L,2008,19911993,2015,,
AL06030002-0601-300,Hughes Creek,R,Tennessee,MorganMarshall,Fish & Wildlife,Siltation (habitat alteration),Agriculture,3.02,miles,Cotaco Creek /Its source,,M,2008,1995,2009,,
AL06030002-0601-700,Mill Pond Creek,R,Tennessee,Marshall,Fish & Wildlife,Siltation (habitat alteration),Agriculture,1.29,miles,Hog Jaw Creek /Its source,,H,2008,1994-95,2011,,
AL06030002-0602-102,West Fork Cotaco Creek,R,Tennessee,Morgan,Fish & Wildlife,Pathogens,Agriculture,8.12,miles,Alabama Highway 67 /Frost Creek,,M,2008,1997,2008,,
AL06030002-0602-102,West Fork Cotaco Creek,R,Tennessee,Morgan,Fish & Wildlife,Siltation (habitat alteration),Agriculture,8.12,miles,Alabama Highway 67 /Frost Creek,,M,2008,1997,2011,,
AL06030002-0602-200,Mud Creek,R,Tennessee,Morgan,Fish & Wildlife,"Organic Enrichment (CBOD, NBOD)",Agriculture,3.42,miles,West Fork of Cotaco Creek /Its source,,L,2008,2004 2005,2011,,
AL06030002-0603-102,Cotaco Creek,R,Tennessee,Morgan,SwimmingFish & Wildlife,Pathogens,Agriculture,5.38,miles,Guyer Branch /West Fork of Cotaco Creek,,H,2008,1997,2008,,
AL06030002-1002-300,Herrin Creek,R,Tennessee,Morgan,Fish & Wildlife,Ammonia,Pasture grazing,6.21,miles,Crowdabout Creek /Its source,,M,2008,1994-95,2011,,
AL06030002-1002-300,Herrin Creek,R,Tennessee,Morgan,Fish & Wildlife,Nutrients,Pasture grazing,6.21,miles,Crowdabout Creek /Its source,,M,2008,1994-95,2011,,
AL06030002-1008-200,Flat Creek,R,Tennessee,Lawrence,Fish & Wildlife,Ammonia,Pasture grazing,7.78,miles,West Flint Creek /Its source,,H,2008,1997,2011,,
AL06030002-1008-200,Flat Creek,R,Tennessee,Lawrence,Fish & Wildlife,Nutrients,Pasture grazing,7.78,miles,West Flint Creek /Its source,,H,2008,1997,2011,,
AL06030002-1101-101,Swan Creek,R,Tennessee,Limestone,Fish & Wildlife,Nutrients,Agriculture MunicipalUrban runoff/storm sewers,8.97,miles,Tennessee River / Alabama Highway 24,,L,2008,2006,2015,,
AL06030004-0104-102,Anderson Creek,R,Tennessee,Lauderdale,Fish & Wildlife,Siltation (habitat alteration),Pasture grazingNon-irrigated crop production,9.31,miles,Snake Road bridge / Its source,,M,2008,1994-95,2011,,
AL06030004-0105-101,Elk River,L,Tennessee,Limestone Lauderdale,Swimming Fish & Wildlife,pH,Pasture grazingNon-irrigated crop production,1569.21,acres,Wheeler Lake / Anderson Creek,,L,2008,1990-91,2008,,
AL06030004-0105-101,Elk River,L,Tennessee,Limestone Lauderdale,Swimming Fish & Wildlife,Nutrients,Pasture grazingNon-irrigated crop production,1569.21,acres,Wheeler Lake / Anderson Creek,,L,2008,1999-02,2008,,
AL06030004-0103-600,Sulphur Creek,R,Tennessee,Limestone,Fish & Wildlife,Nutrients,AgricultureIndustrial,8.34,miles,Elk River /Its source,,L,2008,2004-06,2015,,
AL06030005-0701-201,McKiernan Creek,R,Tennessee,Colbert,Public Water Supply SwimmingFish & Wildlife,Ammonia,Agriculture,2.71,miles,Tennessee River / Shegog Creek,,H,2008,1988,2011,,
AL06030005-0701-201,McKiernan Creek,R,Tennessee,Colbert,Public Water Supply SwimmingFish & Wildlife,Nutrients,Agriculture,2.71,miles,Tennessee River / Shegog Creek,,H,2008,1988,2011,,
AL06030005-0701-201,McKiernan Creek,R,Tennessee,Colbert,Public Water Supply SwimmingFish & Wildlife,Siltation (habitat alteration),Agriculture,2.71,miles,Tennessee River / Shegog Creek,,H,2008,1988,2011,,
AL06030005-0701-201,McKiernan Creek,R,Tennessee,Colbert,Public Water Supply SwimmingFish & Wildlife,"Organic Enrichment (CBOD, NBOD)",Agriculture,2.71,miles,Tennessee River / Shegog Creek,,H,2008,1988,2011,,
AL06030005-0702-100,Pond Creek,R,Tennessee,Colbert,Agricultural & Industrial,"Organic Enrichment (CBOD, NBOD)",Non-irrigated crop production Urban runoff/storm sewers Natural,12.43,miles,Tennessee River / Its source,,L,2008,1991,2011,,
AL06030005-0702-100,Pond Creek,R,Tennessee,Colbert,Agricultural & Industrial,Metals (Arsenic),Non-irrigated crop production Urban runoff/storm sewers Natural,12.43,miles,Tennessee River / Its source,,L,2008,1991,2015,,
AL06030005-0702-100,Pond Creek,R,Tennessee,Colbert,Agricultural & Industrial,Metals (Cyanide),Non-irrigated crop production Urban runoff/storm sewers Natural,12.43,miles,Tennessee River / Its source,,L,2008,1991,2015,,
AL06030005-0702-100,Pond Creek,R,Tennessee,Colbert,Agricultural & Industrial,Metals (Mercury),Non-irrigated crop production Urban runoff/storm sewers Natural,12.43,miles,Tennessee River / Its source,,L,2008,1991,2015,,
AL06030006-0101-700,Little Dice Branch,R,Tennessee,Franklin,Fish & Wildlife,Siltation (habitat alteration),Surface mining-abandoned,3.83,miles,Bear Creek /Its source,,M,2008,1982,2011,,
